slug	name	class	featureCount	economyCount	tableActionCount	resourceCount	preparedSpells	extractAe	expectedAeSlots	gapNotes
circleof-mutation	Círculo da Mutação	druid	5	5	5	0	0	3	5	spell grant/table but 0 prepared_spell rows; 4 features EN leftover; prose-only passives: hp,resistance,sense
bulwark-warrior	Guerreiro Baluarte	fighter	6	4	4	0	0	3	4	5 features EN leftover; prose-only passives: hp,resistance
living-crucible	Crisol Vivo	fighter	6	6	6	0	0	3	6	2 features EN leftover; prose-only passives: hp,resistance
nightwatcher	Vigia Noturno	fighter	6	11	11	0	0	5	11	1 AE feat(s) missing economy; 5 features EN leftover; prose-only passives: ac,resistance,sense,proficiency
warriorofthe-leaden-crown	Guerreiro da Coroa de Chumbo	monk	5	5	5	0	10	4	5	3 features EN leftover
warriorof-pride	Guerreiro do Orgulho	monk	7	1	1	0	0	1	1	5 features EN leftover; prose-only passives: hp,resistance,proficiency
warriorof-regret	Guerreiro do Arrependimento	monk	5	5	5	0	0	3	5	2 features EN leftover; prose-only passives: hp
oathof-pestilence	Juramento da Pestilência	paladin	6	3	4	0	10	3	4	AE slots 4 > economy 3 (gap 1); 1 AE feat(s) missing economy; resource implied, no seed resource; economy rows lack resource_slug; 5 features EN leftover; prose-only passives: hp,resistance
oathof-slaughter	Juramento do Massacre	paladin	5	9	9	0	10	4	9	resource implied, no seed resource; economy rows lack resource_slug; 4 features EN leftover; prose-only passives: hp
oathof-zeal	Juramento do Fanatismo	paladin	5	3	5	0	10	2	5	AE slots 5 > economy 3 (gap 2); 1 AE feat(s) missing economy; resource implied, no seed resource; economy rows lack resource_slug; 4 features EN leftover; prose-only passives: resistance,sense
green-reaper	Ceifador Verde	ranger	6	4	4	0	5	3	4	resource implied, no seed resource; economy rows lack resource_slug; 3 features EN leftover; prose-only passives: hp,resistance
primordial-archer	Arqueiro Primordial	ranger	6	7	7	0	5	4	7	1 AE feat(s) missing economy; resource implied, no seed resource; economy rows lack resource_slug; 4 features EN leftover; prose-only passives: ac,hp,resistance,proficiency
vermin-lord	Senhor dos Vermes	ranger	6	6	7	0	5	4	7	AE slots 7 > economy 6 (gap 1); 2 AE feat(s) missing economy; resource implied, no seed resource; economy rows lack resource_slug; 3 features EN leftover; prose-only passives: resistance,proficiency
highway-rider	Cavaleiro da Estrada	rogue	6	4	4	0	1	2	4	1 features EN leftover; prose-only passives: hp,proficiency
misfortune-bringer	Portador da Desgraça	rogue	5	4	4	0	0	3	4	3 features EN leftover
sanguine-thief	Ladrão Sanguíneo	rogue	6	2	2	0	0	2	2	resource implied, no seed resource; economy rows lack resource_slug; spell grant/table but 0 prepared_spell rows; 5 features EN leftover; prose-only passives: ac,hp
apocalypse-sorcery	Feitiçaria do Apocalipse	sorcerer	6	3	3	0	10	2	3	4 features EN leftover; prose-only passives: hp,resistance,proficiency
haunted-sorcery	Feitiçaria Assombrada	sorcerer	7	7	7	0	11	3	7	1 AE feat(s) missing economy; 4 features EN leftover; prose-only passives: ac,hp,resistance
wretched-bloodline-sorcery	Feitiçaria da Linhagem Maldita	sorcerer	6	6	6	0	2	3	6	5 features EN leftover; prose-only passives: ac,hp,resistance
the-coven	O Pacto das Bruxas	warlock	5	4	4	0	12	2	4	resource implied, no seed resource; economy rows lack resource_slug; 3 features EN leftover; prose-only passives: hp,resistance
the-first-vampire-patron	Patrono do Primeiro Vampiro	warlock	6	5	5	0	10	3	5	resource implied, no seed resource; economy rows lack resource_slug; 3 features EN leftover; prose-only passives: hp,resistance,sense
the-parasite-patron	Patrono do Parasita	warlock	5	5	6	0	1	3	6	AE slots 6 > economy 5 (gap 1); 1 AE feat(s) missing economy; 4 features EN leftover; prose-only passives: ac,hp,resistance,speed,sense
daemonologist	Daemonologista	wizard	5	5	5	0	11	3	5	5 features EN leftover; prose-only passives: resistance
plague-doctor	Médico da Peste	wizard	5	7	7	0	0	3	7	4 features EN leftover; prose-only passives: hp,resistance,proficiency
sangromancer	Sangromante	wizard	5	2	2	1	0	0	0	prose-only passives: hp
